t_rel_s,gps_accuracy_m,valid_for_calibration
0.0,3.0,True
9.0,4.0,True
52.900000000000006,3.0,True
62.0,3.0,True
70.901,3.0,True
79.99900000000001,4.0,True
101.899,2.0,True
110.9,4.0,True
119.99900000000001,3.0,True
128.999,4.0,True
137.9,32.0,True
146.999,4.0,True
156.0,3.0,True
164.999,4.0,True
173.999,4.0,True
183.0,4.0,True
192.0,4.0,True
205.0,4.0,True
214.0,4.0,True
223.0,4.0,True
231.999,4.0,True
240.999,4.0,True
250.0,4.0,True
258.99899999999997,4.0,True
268.0,2.0,True
277.0,2.0,True
285.99899999999997,2.0,True
294.99899999999997,2.0,True
303.9,2.0,True
313.0,2.0,True
321.99899999999997,2.0,True
331.0,3.0,True
339.99899999999997,3.0,True
349.0,3.0,True
357.899,2.0,True
366.99899999999997,3.0,True
375.99899999999997,4.0,True
384.9,3.0,True
394.0,3.0,True
403.0,4.0,True
411.9,3.0,True
420.99899999999997,3.0,True
429.99899999999997,3.0,True
438.99899999999997,3.0,True
448.0,3.0,True
456.99899999999997,2.0,True
479.899,2.0,True
488.99899999999997,3.0,True
497.99899999999997,3.0,True
506.99899999999997,3.0,True
515.999,3.0,True
524.999,3.0,True
533.999,3.0,True
543.0,4.0,True
551.999,3.0,True
560.999,3.0,True
570.0,3.0,True
578.9,3.0,True
587.999,3.0,True
596.999,4.0,True
605.9,3.0,True
614.999,2.0,True
623.9,2.0,True
632.999,2.0,True
641.9,2.0,True
651.0,2.0,True
659.999,2.0,True
669.0,3.0,True
677.999,3.0,True
687.0,3.0,True
696.0,2.0,True
705.0,3.0,True
713.999,3.0,True
723.0,2.0,True
731.999,3.0,True
740.999,2.0,True
750.0,2.0,True
758.999,2.0,True
767.999,3.0,True
777.0,3.0,True
785.999,2.0,True
794.999,2.0,True
803.999,3.0,True
813.0,3.0,True
822.0,3.0,True
830.999,3.0,True
840.0,3.0,True
849.0,3.0,True
858.0,2.0,True
867.0,2.0,True
876.0,3.0,True
885.0,3.0,True
893.999,3.0,True
902.999,2.0,True
911.999,3.0,True
920.999,2.0,True
930.0,2.0,True
939.0,3.0,True
947.999,3.0,True
956.999,3.0,True
965.999,2.0,True
974.999,2.0,True
983.901,3.0,True
992.899,3.0,True
1002.0,3.0,True
1010.999,2.0,True
1020.0,2.0,True
1029.0,2.0,True
1044.999,2.0,True
1053.8999999999999,4.0,True
1062.999,3.0,True
1071.999,3.0,True
1081.0,2.0,True
1090.0,3.0,True
1098.999,3.0,True
1107.999,2.0,True
1117.0,3.0,True
1126.0,3.0,True
1134.999,3.0,True
1143.8999999999999,3.0,True
1153.0,3.0,True
1162.0,2.0,True
1171.0,3.0,True
1179.999,4.0,True
1188.999,3.0,True
1198.999,3.0,True
1207.999,3.0,True
1216.999,3.0,True
1226.001,2.0,True
1234.999,2.0,True
1244.0,2.0,True
1253.0,3.0,True
1262.0,3.0,True
1271.0,4.0,True
1279.899,3.0,True
1289.0,3.0,True
1297.999,3.0,True
1306.899,3.0,True
1315.999,3.0,True
1325.0,3.0,True
1334.0,3.0,True
1343.0,3.0,True
1352.0,4.0,True
1360.999,3.0,True
1385.0,2.0,True
1394.0,3.0,True
1403.002,3.0,True
1412.0,3.0,True
1420.999,3.0,True
1430.0,3.0,True
1438.999,3.0,True
1447.999,3.0,True
1457.0,2.0,True
1465.999,3.0,True
1475.0,2.0,True
1484.0,3.0,True
1492.999,2.0,True
1501.999,2.0,True
1510.999,3.0,True
1520.0,3.0,True
1528.999,3.0,True
1537.999,2.0,True
1546.999,3.0,True
1555.999,2.0,True
1565.0,3.0,True
1573.999,2.0,True
1582.999,2.0,True
1591.999,2.0,True
1600.999,3.0,True
1614.0,3.0,True
1623.0,2.0,True
1631.999,2.0,True
1641.0,3.0,True
1650.0,3.0,True
1664.0,3.0,True
1673.0,3.0,True
1681.999,2.0,True
1691.0,2.0,True
1699.999,2.0,True
1715.8999999999999,3.0,True
1724.999,3.0,True
1734.0,3.0,True
1742.999,3.0,True
1751.999,3.0,True
1761.0,2.0,True
1771.999,3.0,True
1780.999,3.0,True
1790.0,3.0,True
1798.999,3.0,True
1807.999,3.0,True
1817.0,3.0,True
1825.999,3.0,True
1835.0,3.0,True
1843.999,3.0,True
1853.0,3.0,True
1861.8999999999999,2.0,True
1871.0,2.0,True
1880.0,2.0,True
1889.0,2.0,True
1897.8999999999999,2.0,True
1907.0,3.0,True
1915.999,3.0,True
1925.0,3.0,True
1933.8999999999999,3.0,True
1942.999,4.0,True
1951.902,4.0,True
1960.999,3.0,True
1970.0,3.0,True
1978.999,2.0,True
1987.999,3.0,True
1997.0,2.0,True
2005.999,3.0,True
2014.899,3.0,True
2024.001,3.0,True
2032.999,3.0,True
2042.0,3.0,True
2050.999,3.0,True
2060.0009999999997,3.0,True
2069.0,3.0,True
2077.999,3.0,True
2086.999,2.0,True
2096.0,3.0,True
2104.999,3.0,True
2114.0,2.0,True
2123.0,2.0,True
2132.0,2.0,True
2140.999,3.0,True
2149.999,2.0,True
2159.0,2.0,True
2167.999,2.0,True
2176.999,2.0,True
2185.999,3.0,True
2194.9,3.0,True
2203.999,3.0,True
2212.999,3.0,True
2222.0,3.0,True
2230.999,3.0,True
2239.999,2.0,True
2248.999,3.0,True
2257.899,3.0,True
2267.0,3.0,True
2276.0,2.0,True
2284.999,3.0,True
2293.999,3.0,True
2302.999,3.0,True
2311.999,3.0,True
2320.9,3.0,True
2329.999,3.0,True
2338.899,3.0,True
2347.999,2.0,True
2356.999,3.0,True
2365.999,3.0,True
2375.0,3.0,True
2384.0,4.0,True
2392.999,3.0,True
2402.0,3.0,True
2410.9,3.0,True
2420.0,3.0,True
2436.999,3.0,True
2446.0009999999997,2.0,True
2454.999,3.0,True
2463.999,3.0,True
2473.0,3.0,True
2481.999,3.0,True
2490.999,3.0,True
2500.0,3.0,True
2524.0,3.0,True
2533.0,3.0,True
2541.999,3.0,True
2551.0,3.0,True
2559.999,2.0,True
2568.999,3.0,True
2577.999,3.0,True
2586.999,3.0,True
2596.0,3.0,True
2604.999,2.0,True
2614.0,2.0,True
2623.0,3.0,True
2632.0,3.0,True
2640.999,3.0,True
2650.0,3.0,True
2659.0,3.0,True
2668.0,3.0,True
2677.0,3.0,True
2690.0,3.0,True
2698.999,3.0,True
2708.0,3.0,True
2716.999,2.0,True
2725.999,2.0,True
2734.999,3.0,True
2744.0,3.0,True
2753.0,3.0,True
2761.999,4.0,True
2770.999,3.0,True
2780.0,4.0,True
2788.999,3.0,True
2797.999,3.0,True
2807.0,3.0,True
2815.999,3.0,True
2825.0,3.0,True
2833.999,3.0,True
2842.999,3.0,True
2851.999,3.0,True
2860.999,3.0,True
2869.999,3.0,True
2879.0,3.0,True
2887.999,2.0,True
2897.0,2.0,True
2906.0,2.0,True
2914.999,2.0,True
2923.999,3.0,True
2932.999,2.0,True
2941.899,2.0,True
2950.899,3.0,True
2959.999,3.0,True
2969.0,3.0,True
2977.999,3.0,True
2987.0,3.0,True
2995.901,3.0,True
3005.0,3.0,True
3014.0,3.0,True
3022.899,4.0,True
3032.0,4.0,True
3040.999,4.0,True
3050.0,4.0,True
3059.0,3.0,True
3067.999,3.0,True
3077.0,4.0,True
3086.0,4.0,True
3094.999,6.0,True
3103.999,4.0,True
3112.999,3.0,True
3122.0,3.0,True
3130.9,3.0,True
3140.0,2.0,True
3149.0,3.0,True
3158.0,2.0,True
3166.999,2.0,True
3176.0,2.0,True
3184.999,3.0,True
3193.999,3.0,True
3208.999,3.0,True
3218.0,3.0,True
3227.0,2.0,True
3236.0,3.0,True
3245.0,3.0,True
3254.0,2.0,True
3262.999,2.0,True
3271.999,2.0,True
3281.0,3.0,True
3289.999,2.0,True
3298.999,2.0,True
3307.999,2.0,True
3316.999,2.0,True
3326.0,2.0,True
3335.0,2.0,True
3343.999,3.0,True
3352.999,2.0,True
3361.901,4.0,True
3371.0,3.0,True
3379.999,3.0,True
3400.999,2.0,True
3410.0,3.0,True
3419.0,3.0,True
3427.999,2.0,True
3436.999,2.0,True
3445.999,2.0,True
3454.999,3.0,True
3464.0,3.0,True
3473.0,3.0,True
3482.0,2.0,True
3491.0,3.0,True
3500.0,2.0,True
3509.0,3.0,True
3517.999,3.0,True
3526.999,3.0,True
3535.999,3.0,True
3544.999,3.0,True
3553.999,2.0,True
3562.999,3.0,True
3571.999,2.0,True
3581.0,3.0,True
3589.999,3.0,True
3599.0,2.0,True
3607.999,3.0,True
3617.0,3.0,True
3626.0,4.0,True
3634.999,4.0,True
3644.0,3.0,True
3652.999,3.0,True
3661.999,3.0,True
3670.999,2.0,True
3679.899,4.0,True
3692.0,3.0,True
3700.999,3.0,True
3709.999,2.0,True
3718.9,3.0,True
3727.999,6.0,True
3737.0,3.0,True
3746.999,3.0,True
3755.899,4.0,True
3764.999,4.0,True
3773.999,4.0,True
3783.0,4.0,True
3791.999,3.0,True
3801.0,3.0,True
3809.999,3.0,True
3818.999,2.0,True
3827.999,3.0,True
3836.999,3.0,True
3846.0,2.0,True
3855.0,2.0,True
3863.999,3.0,True
3873.0,3.0,True
3882.0,3.0,True
3891.9,3.0,True
3900.999,3.0,True
3909.999,3.0,True
3919.0,3.0,True
3928.0,3.0,True
3936.999,3.0,True
3945.999,3.0,True
3955.0,3.0,True
3963.999,3.0,True
3973.0,2.0,True
3982.0,3.0,True
3990.999,3.0,True
3999.999,3.0,True
4008.999,3.0,True
4017.9,3.0,True
4026.999,3.0,True
4036.0,3.0,True
4044.999,2.0,True
4054.0,2.0,True
4063.0,2.0,True
4071.999,3.0,True
4081.0,3.0,True
4090.0,3.0,True
4099.0,3.0,True
4107.999000000001,3.0,True
4117.0,3.0,True
4126.0,2.0,True
4135.0,3.0,True
4144.0,3.0,True
4153.0,3.0,True
4162.0,3.0,True
4171.0,3.0,True
4180.0,3.0,True
4189.0,4.0,True
4197.900000000001,3.0,True
4207.0,3.0,True
4216.0,3.0,True
4224.900000000001,3.0,True
4234.0,2.0,True
4242.999000000001,2.0,True
4313.0,2.0,True
4322.001,2.0,True
4331.0,2.0,True
4339.999000000001,2.0,True
4348.999000000001,3.0,True
4357.999000000001,3.0,True
4367.0,3.0,True
4375.999000000001,3.0,True
4385.0,3.0,True
4393.999000000001,3.0,True
4402.999000000001,2.0,True
4413.0,2.0,True
4422.0,3.0,True
4430.999000000001,2.0,True
4439.999000000001,2.0,True
4449.0,3.0,True
4457.999000000001,3.0,True
4466.999000000001,3.0,True
4475.999000000001,3.0,True
4485.0,2.0,True
4493.999000000001,3.0,True
4502.999000000001,2.0,True
4511.999000000001,2.0,True
4520.999000000001,2.0,True
4529.999000000001,3.0,True
4538.999000000001,3.0,True
4547.999000000001,3.0,True
4557.0,3.0,True
4565.999000000001,3.0,True
4575.002,3.0,True
4583.999000000001,3.0,True
4592.999000000001,3.0,True
