t_s,gps_course_deg,yaw_dev_deg,mag_tc_dev_deg,gps_cog_field_deg,gps_spd_mps,yaw_minus_course_deg,mag_minus_course_deg
2.9,239.0,18.8,257.4,241.6,5.6,139.8,18.4
11.9,255.3,27.9,254.4,238.0,0.0,132.6,-0.9
55.8,330.5,13.4,262.2,281.0,5.2,42.9,-68.2
64.9,313.2,311.1,245.7,325.9,10.6,-2.1,-67.5
73.8,321.1,334.1,248.5,314.8,5.0,13.0,-72.5
82.9,340.7,317.2,244.8,328.8,4.6,-23.5,-95.9
104.8,281.9,351.2,252.8,299.5,2.1,69.3,-29.1
113.8,245.3,7.4,259.4,279.1,9.4,122.1,14.1
122.9,272.0,348.9,263.7,264.8,15.6,76.9,-8.2
131.9,281.5,18.0,267.1,271.0,18.8,96.5,-14.4
140.8,315.6,330.0,254.3,304.3,17.7,14.3,-61.3
149.9,317.6,314.2,252.2,318.0,15.5,-3.5,-65.4
158.9,312.3,335.7,254.5,319.7,11.9,23.4,-57.8
167.9,278.8,0.1,257.7,301.0,10.8,81.2,-21.1
176.9,267.1,341.5,260.0,253.3,10.6,74.4,-7.1
185.9,281.6,0.1,266.4,278.8,10.1,78.5,-15.3
194.9,287.1,13.3,263.8,286.2,1.0,86.3,-23.3
207.9,301.8,0.5,260.4,289.4,5.8,58.6,-41.4
216.9,318.6,324.0,256.5,313.8,12.3,5.4,-62.1
225.9,323.6,293.9,251.2,320.2,13.3,-29.7,-72.4
234.9,297.9,311.3,244.9,323.6,12.8,13.4,-53.0
243.9,281.0,4.1,254.8,292.3,13.6,83.1,-26.2
252.9,252.8,16.9,259.4,277.8,12.8,124.1,6.6
261.9,204.4,340.9,235.9,201.1,10.1,136.5,31.4
270.9,217.7,352.1,243.4,215.4,13.3,134.4,25.7
279.9,220.0,1.4,248.0,221.1,13.4,141.4,27.9
288.9,238.6,9.4,252.4,227.0,13.6,130.9,13.8
297.9,241.8,27.0,257.6,244.1,9.3,145.2,15.8
306.8,242.1,20.2,255.3,234.3,7.6,138.0,13.1
315.9,250.1,23.4,258.3,245.5,15.3,133.4,8.2
324.9,252.6,29.5,259.2,253.6,15.7,136.9,6.5
333.9,259.1,32.0,258.9,252.4,15.4,132.9,-0.1
342.9,277.6,17.0,265.7,269.1,15.3,99.4,-11.9
351.9,293.6,31.8,261.7,283.3,14.9,98.2,-32.0
360.8,323.6,30.9,265.8,273.5,10.6,67.3,-57.8
369.9,313.4,294.9,243.0,342.2,11.0,-18.6,-70.4
378.9,287.4,14.2,258.9,295.8,13.6,86.8,-28.5
387.8,284.0,18.7,259.8,286.8,13.4,94.7,-24.2
396.9,284.6,25.4,257.5,285.6,9.2,100.7,-27.2
405.9,285.5,20.3,260.1,286.1,11.0,94.8,-25.4
414.8,281.9,20.0,259.6,285.5,13.9,98.1,-22.3
423.9,279.8,24.8,261.7,278.1,13.8,105.0,-18.1
432.9,284.8,25.2,261.7,283.1,11.8,100.4,-23.1
441.9,281.0,17.7,262.9,289.8,5.6,96.6,-18.1
450.9,270.0,28.5,263.5,267.9,5.3,118.5,-6.5
459.9,280.0,28.8,262.3,273.9,0.0,108.8,-17.7
482.8,295.9,25.6,261.2,282.5,5.0,89.7,-34.7
491.9,283.5,16.2,261.3,288.7,11.5,92.8,-22.2
500.9,279.4,16.6,261.5,281.9,14.1,97.3,-17.9
509.9,281.0,17.1,260.7,280.2,14.1,96.1,-20.3
518.9,283.8,18.6,263.4,282.9,14.1,94.7,-20.4
527.9,288.8,28.8,259.6,287.1,14.4,100.0,-29.2
536.9,293.9,4.9,261.4,292.2,14.0,71.0,-32.6
545.9,294.9,6.7,260.3,294.6,14.2,71.8,-34.6
554.9,295.5,11.0,258.6,295.3,13.3,75.5,-36.8
563.9,296.5,9.8,257.3,296.6,13.5,73.3,-39.2
572.9,295.5,0.3,259.4,296.5,14.6,64.8,-36.1
581.8,290.0,15.0,258.4,294.2,13.2,85.0,-31.6
590.9,352.7,30.4,262.7,286.2,2.1,37.8,-90.0
599.9,10.3,302.4,229.7,11.1,8.5,-67.9,-140.6
