t_s,gps_course_deg,yaw_dev_deg,mag_tc_dev_deg,gps_cog_field_deg,gps_spd_mps,yaw_minus_course_deg,mag_minus_course_deg
0.0,20.4,262.6,248.7,20.8,24.1,-117.7,-131.6
4.7,20.2,245.2,255.4,20.2,26.0,-135.0,-124.8
13.8,17.8,249.5,256.7,19.0,25.6,-128.3,-121.1
22.8,13.5,241.6,258.6,13.6,26.5,-131.9,-114.9
31.9,10.9,217.6,260.9,10.1,26.4,-153.3,-110.0
40.9,6.9,214.0,261.6,7.1,24.4,-152.9,-105.3
49.8,2.6,222.1,262.5,4.5,24.0,-140.6,-100.1
58.8,359.1,211.9,263.7,0.4,23.3,-147.2,-95.4
67.8,356.1,219.3,264.2,357.6,24.1,-136.8,-91.9
76.8,352.1,203.2,267.0,353.0,26.2,-148.9,-85.1
